image_name,tags,augment
train_7459,artisinal_mine clear primary road water,"[3,0]"
train_12466,agriculture partly_cloudy primary,"[1,0]"
train_21011,clear primary selective_logging,"[2,1]"
train_36942,agriculture clear primary water,"[3,0]"
train_24654,clear primary,"[3,0]"
train_12568,partly_cloudy primary,"[3,1]"
train_13544,agriculture cultivation partly_cloudy primary,"[2,0]"
train_26955,partly_cloudy primary,"[2,0]"
train_29757,blooming clear primary,"[2,1]"
train_7869,clear primary,"[1,0]"
train_25461,clear primary,"[2,0]"
train_206,partly_cloudy primary,"[3,1]"
train_20629,agriculture clear habitation primary road,"[1,1]"
train_12298,clear primary,"[1,1]"
train_29006,agriculture clear cultivation primary,"[3,0]"
train_15139,agriculture haze primary,"[2,1]"
train_25046,agriculture clear cultivation primary,"[2,0]"
train_39182,partly_cloudy primary,"[1,1]"
train_14431,clear primary,"[1,1]"
train_19838,agriculture clear primary road,"[3,1]"
train_11380,clear primary,"[2,1]"
train_29027,clear primary water,"[2,1]"
train_13575,clear primary,"[1,1]"
train_507,agriculture partly_cloudy primary,"[3,0]"
train_37957,partly_cloudy primary,"[1,1]"
train_15563,cloudy,"[1,0]"
train_12033,clear primary,"[2,0]"
train_30631,agriculture clear cultivation cultivation habitation primary road water,"[3,0]"
train_16170,clear primary,"[3,0]"
train_35169,agriculture clear primary road,"[1,0]"
train_19656,clear primary,"[3,1]"
train_19851,clear primary,"[2,0]"
train_23253,agriculture clear habitation primary road,"[1,0]"
train_38415,clear primary water,"[1,1]"
train_9030,clear primary,"[2,0]"
train_1751,partly_cloudy primary,"[3,1]"
train_29808,cloudy,"[3,0]"
train_5703,clear primary,"[1,1]"
train_30206,clear primary,"[3,0]"
train_26969,clear primary,"[3,0]"
train_1090,agriculture clear primary water,"[2,1]"
train_24543,clear primary,"[3,1]"
train_13972,clear primary,"[2,1]"
train_12831,clear primary,"[3,0]"
train_23442,agriculture clear primary road water,"[1,1]"
train_26881,clear primary,"[3,1]"
train_2853,clear primary,"[3,0]"
train_32682,clear primary,"[2,1]"
train_28249,cultivation partly_cloudy primary slash_burn,"[3,0]"
train_24091,partly_cloudy primary,"[2,0]"
train_34701,agriculture partly_cloudy,"[1,1]"
train_19974,blooming clear primary,"[3,0]"
train_25298,agriculture clear primary,"[3,1]"
train_6527,agriculture clear primary,"[2,0]"
train_27854,agriculture clear primary road,"[3,1]"
train_3891,clear primary,"[2,1]"
train_34053,agriculture bare_ground clear habitation road,"[1,1]"
train_31768,clear primary,"[3,1]"
train_2177,clear primary,"[2,0]"
train_18705,agriculture clear primary,"[1,0]"
