image_name,tags,augment
train_19316,clear primary,"[2,1]"
train_32817,agriculture clear cultivation primary,"[2,1]"
train_37594,clear primary,"[1,1]"
train_11897,agriculture bare_ground partly_cloudy primary road,"[2,1]"
train_3371,partly_cloudy primary,"[3,1]"
train_40047,clear primary,"[1,1]"
train_21309,agriculture clear primary road water,"[3,1]"
train_14503,agriculture habitation partly_cloudy primary road,"[2,1]"
train_26918,clear primary,"[3,1]"
train_39601,clear primary,"[2,1]"
train_24919,agriculture clear primary,"[3,0]"
train_31251,cloudy,"[3,0]"
train_2265,clear primary,"[1,1]"
train_10103,cloudy,"[2,0]"
train_18965,clear primary,"[2,0]"
train_19101,blooming clear primary,"[1,1]"
train_26877,agriculture clear primary road,"[3,0]"
train_13389,clear primary,"[1,1]"
train_12447,clear primary water,"[2,0]"
train_2636,cloudy,"[3,1]"
train_23208,clear primary,"[3,1]"
train_9143,blow_down clear primary,"[2,1]"
train_35067,clear primary,"[3,1]"
train_26918,clear primary,"[1,1]"
train_28846,partly_cloudy primary,"[3,0]"
train_29447,partly_cloudy primary,"[2,0]"
train_34187,cultivation haze primary,"[3,0]"
train_34455,agriculture clear habitation primary road water,"[1,0]"
train_39988,clear primary water,"[3,0]"
train_26421,clear primary,"[3,1]"
train_15702,partly_cloudy primary,"[3,1]"
train_16931,clear primary,"[2,0]"
train_12,cloudy,"[1,1]"
train_32360,clear primary,"[2,0]"
train_31381,clear primary water,"[1,1]"
train_7966,agriculture partly_cloudy primary,"[3,1]"
train_18244,clear primary,"[1,0]"
train_11725,clear primary,"[2,0]"
train_16509,clear primary road,"[2,0]"
train_13418,partly_cloudy primary,"[1,1]"
train_8308,agriculture habitation partly_cloudy primary road,"[1,1]"
train_26564,cloudy,"[2,0]"
train_22613,clear primary,"[2,0]"
train_26097,agriculture clear primary,"[1,1]"
train_14488,bare_ground partly_cloudy,"[1,0]"
train_35477,bare_ground clear primary water,"[3,0]"
train_27046,haze primary,"[2,1]"
train_21418,clear primary water,"[1,1]"
train_22503,partly_cloudy primary,"[2,0]"
