image_name,tags,augment
train_3459,agriculture partly_cloudy primary road water,"[1,0]"
train_17534,agriculture clear cultivation habitation primary,"[3,1]"
train_20425,agriculture clear cultivation primary,"[3,1]"
train_38750,agriculture clear cultivation primary slash_burn,"[1,0]"
train_34892,partly_cloudy primary,"[2,1]"
train_3664,clear primary,"[1,0]"
train_26670,clear primary,"[2,0]"
train_20812,clear primary,"[2,0]"
train_30412,clear primary,"[2,1]"
train_22318,partly_cloudy primary,"[3,1]"
train_5021,cloudy,"[1,1]"
train_34140,clear cultivation primary,"[2,0]"
train_16261,agriculture partly_cloudy road,"[1,1]"
train_1841,clear primary,"[3,0]"
train_16541,clear primary,"[2,0]"
train_40319,agriculture clear primary road,"[2,1]"
train_12947,clear cultivation primary,"[2,0]"
train_24480,agriculture haze primary,"[1,0]"
train_9514,haze primary water,"[2,1]"
train_26633,agriculture clear primary,"[2,1]"
train_29029,clear primary,"[3,1]"
train_23373,clear primary,"[2,1]"
train_27934,clear primary,"[2,1]"
train_5181,haze primary,"[1,1]"
train_13639,haze primary,"[3,1]"
train_28385,clear primary,"[1,1]"
train_22009,partly_cloudy primary,"[1,0]"
train_33586,haze primary road,"[1,0]"
train_38550,clear primary,"[2,1]"
train_39514,clear primary water,"[2,0]"
train_971,clear primary,"[2,0]"
train_4292,cloudy,"[3,0]"
train_3169,agriculture partly_cloudy primary,"[1,0]"
train_5496,agriculture clear cultivation primary,"[2,0]"
train_28238,clear primary,"[3,0]"
train_26272,agriculture clear primary,"[2,0]"
train_28809,clear primary water,"[2,1]"
train_26056,clear primary water,"[1,1]"
train_18025,agriculture clear primary road,"[3,0]"
train_2773,clear primary,"[1,1]"
train_18014,clear primary,"[2,1]"
train_24514,clear primary,"[3,0]"
train_39875,clear cultivation habitation primary water,"[1,0]"
train_2704,partly_cloudy primary,"[1,0]"
train_39415,clear primary water,"[3,0]"
train_38266,clear primary water,"[1,0]"
train_16375,agriculture clear cultivation habitation primary road,"[2,1]"
train_21935,haze primary,"[2,0]"
train_5019,clear primary,"[3,0]"
train_14807,partly_cloudy water,"[2,0]"
train_23440,clear primary,"[1,1]"
train_35923,partly_cloudy primary,"[3,1]"
train_11948,clear primary,"[1,0]"
train_379,agriculture clear primary road,"[1,1]"
train_31314,agriculture clear cultivation primary,"[1,0]"
train_4591,clear primary,"[3,1]"
train_39349,clear habitation primary road,"[1,1]"
train_10787,artisinal_mine clear primary road water,"[2,1]"
train_10330,agriculture cultivation partly_cloudy primary,"[2,1]"
train_33503,agriculture clear habitation primary road water,"[2,0]"
train_20361,partly_cloudy primary,"[3,0]"
train_16577,clear primary water,"[1,1]"
train_1716,clear primary,"[1,0]"
train_8034,clear primary,"[2,0]"
train_12516,clear habitation primary water,"[2,0]"
train_653,agriculture clear cultivation primary road,"[1,0]"
train_5312,artisinal_mine partly_cloudy primary water,"[1,1]"
train_35855,agriculture cultivation partly_cloudy primary,"[2,0]"
train_19438,haze primary water,"[2,1]"
train_15217,haze primary,"[2,0]"
train_38871,agriculture cultivation partly_cloudy primary road,"[2,1]"
train_17023,clear primary,"[2,1]"
train_8188,haze primary,"[2,0]"
train_11896,cloudy,"[2,1]"
train_9918,clear primary water,"[3,0]"
train_17369,clear primary selective_logging,"[2,0]"
train_21178,bare_ground clear primary,"[3,0]"
train_3774,agriculture clear primary road selective_logging,"[3,0]"
train_19417,cultivation partly_cloudy primary slash_burn,"[2,1]"
train_8848,agriculture clear primary water,"[3,0]"
train_18351,clear primary,"[3,0]"
train_36366,clear habitation primary road,"[2,0]"
train_24867,agriculture partly_cloudy primary road,"[1,1]"
train_14031,agriculture clear habitation primary road,"[1,0]"
train_15246,clear primary,"[2,0]"
train_26082,clear primary,"[3,0]"
train_31194,clear primary,"[3,1]"
train_5526,clear primary,"[1,1]"
train_27242,agriculture clear primary road,"[1,1]"
train_2046,clear primary water,"[3,1]"
train_3151,clear primary,"[3,0]"
train_32164,clear primary,"[1,1]"
train_11158,clear primary,"[1,0]"
train_14579,clear primary,"[2,0]"
train_2293,agriculture clear primary road water,"[1,0]"
train_26830,agriculture clear primary road,"[3,0]"
train_8617,agriculture clear habitation primary road,"[2,0]"
train_23747,agriculture haze primary water,"[3,1]"
train_18747,clear primary,"[3,1]"
train_1965,clear primary,"[3,0]"
train_28438,partly_cloudy primary,"[1,1]"
train_14133,agriculture clear cultivation primary road,"[1,0]"
train_5908,clear primary,"[1,1]"
train_39066,agriculture partly_cloudy primary,"[1,1]"
