image_name,tags,augment
train_19240,clear primary,"[1,0]"
train_13398,clear primary,"[2,0]"
train_133,haze primary,"[3,1]"
train_15844,partly_cloudy primary water,"[1,1]"
train_23677,partly_cloudy primary,"[3,1]"
train_10816,cloudy,"[3,0]"
train_27892,clear primary,"[3,1]"
train_7139,haze primary,"[1,0]"
train_8389,clear primary,"[3,0]"
train_11025,clear primary water,"[1,0]"
train_32746,agriculture clear cultivation habitation primary road water,"[2,1]"
train_23873,agriculture clear cultivation primary,"[3,1]"
train_27359,partly_cloudy primary,"[1,1]"
train_20134,partly_cloudy primary,"[1,0]"
train_32991,clear primary,"[2,1]"
train_587,clear primary,"[2,0]"
train_5308,clear primary water,"[3,0]"
train_29470,agriculture clear cultivation primary,"[2,0]"
train_34690,agriculture partly_cloudy primary,"[2,1]"
train_3098,cloudy,"[2,1]"
train_18560,agriculture clear cultivation primary road,"[3,1]"
train_26910,agriculture habitation partly_cloudy primary,"[3,0]"
train_27372,agriculture clear cultivation primary,"[1,1]"
train_6381,agriculture clear primary road,"[1,0]"
train_26603,agriculture clear cultivation habitation primary road water,"[1,1]"
train_15485,haze primary,"[1,0]"
train_35055,agriculture cultivation partly_cloudy primary,"[3,1]"
train_26768,agriculture clear primary,"[3,0]"
train_20528,agriculture habitation partly_cloudy primary road water,"[1,1]"
train_19391,blooming clear primary water,"[2,0]"
train_31887,cloudy,"[3,0]"
train_9559,clear primary,"[3,1]"
train_36376,clear primary,"[2,0]"
train_12664,haze primary,"[3,0]"
train_26616,clear primary,"[3,1]"
train_4802,clear primary,"[1,0]"
train_3054,agriculture clear cultivation habitation primary road,"[3,0]"
train_6767,agriculture partly_cloudy primary road,"[2,0]"
train_6882,clear primary,"[2,0]"
train_22385,clear primary,"[2,1]"
train_6771,agriculture clear water,"[1,0]"
train_14053,agriculture habitation partly_cloudy primary,"[2,0]"
train_29345,agriculture clear cultivation primary,"[3,1]"
train_17904,clear primary water,"[3,0]"
train_3054,agriculture clear cultivation habitation primary road,"[2,1]"
train_22395,clear primary,"[1,1]"
train_10886,bare_ground cultivation partly_cloudy primary,"[2,0]"
train_38831,agriculture clear habitation primary road,"[2,1]"
train_9485,clear cultivation primary,"[2,0]"
train_27753,agriculture clear primary road,"[2,1]"
train_38436,clear primary,"[3,1]"
train_6509,partly_cloudy primary,"[2,0]"
train_35148,agriculture cultivation habitation partly_cloudy primary road,"[3,1]"
train_33816,agriculture partly_cloudy primary,"[2,1]"
train_11339,agriculture clear primary water,"[1,1]"
train_40322,clear primary,"[2,0]"
train_1048,partly_cloudy primary,"[2,0]"
train_2167,clear primary,"[1,0]"
train_19508,clear primary,"[3,1]"
train_16049,clear primary,"[2,1]"
train_34708,agriculture clear habitation primary road,"[1,1]"
train_33400,clear primary,"[3,1]"
train_16158,agriculture clear cultivation primary water,"[3,0]"
train_27006,clear primary,"[2,0]"
train_17715,agriculture clear primary road,"[3,1]"
train_7703,clear cultivation habitation primary,"[3,0]"
train_18277,clear habitation primary road water,"[2,1]"
train_4016,clear primary,"[3,1]"
train_16545,agriculture clear primary road water,"[1,0]"
train_30477,agriculture clear habitation primary road,"[2,1]"
train_32208,clear primary,"[3,1]"
train_25471,agriculture cultivation partly_cloudy primary,"[3,1]"
train_33637,partly_cloudy primary,"[3,0]"
train_9057,agriculture cultivation cultivation partly_cloudy primary,"[2,1]"
train_35639,clear primary,"[2,0]"
train_19798,agriculture habitation partly_cloudy primary road,"[2,1]"
train_29570,partly_cloudy primary,"[1,1]"
train_32460,agriculture clear cultivation primary road water,"[3,0]"
train_15638,clear primary water,"[2,0]"
train_11850,agriculture partly_cloudy primary road,"[1,1]"
train_37386,clear primary,"[1,1]"
train_14301,clear primary,"[2,0]"
train_31422,clear primary water,"[3,1]"
train_20405,agriculture clear primary,"[3,1]"
train_17761,partly_cloudy primary,"[3,1]"
train_10827,clear primary,"[1,1]"
train_11882,agriculture haze primary,"[3,1]"
train_4339,agriculture partly_cloudy primary road,"[2,1]"
train_2299,agriculture clear cultivation habitation primary,"[3,0]"
train_11232,clear primary,"[3,0]"
train_30966,agriculture clear primary road water,"[2,1]"
train_35671,clear primary,"[1,0]"
train_26463,agriculture clear primary road,"[3,1]"
train_21980,haze primary,"[2,0]"
train_761,clear primary,"[1,1]"
train_29349,clear primary,"[2,1]"
train_21616,clear cultivation habitation primary water,"[3,0]"
train_38690,bare_ground clear primary,"[3,0]"
train_9096,agriculture clear cultivation primary,"[2,1]"
train_5616,clear primary,"[3,0]"
train_30747,agriculture blow_down clear cultivation primary,"[2,0]"
train_19843,clear primary,"[2,1]"
train_39839,clear primary,"[2,1]"
train_13036,clear primary,"[2,1]"
train_21303,agriculture clear primary road water,"[1,1]"
train_38741,partly_cloudy primary,"[2,1]"
train_22931,agriculture conventional_mine partly_cloudy primary,"[2,0]"
train_11267,clear primary,"[3,1]"
train_1713,clear primary,"[2,1]"
train_20797,clear primary road water,"[2,0]"
train_39293,agriculture clear primary,"[2,0]"
train_32815,cloudy,"[2,0]"
train_32323,agriculture clear habitation primary road,"[1,0]"
train_15285,clear primary,"[3,1]"
train_39949,agriculture clear primary water,"[2,1]"
train_28969,clear primary,"[2,1]"
train_11402,partly_cloudy primary,"[2,1]"
train_12704,blooming clear cultivation primary,"[3,0]"
train_37569,clear primary,"[2,0]"
train_29731,clear cultivation primary,"[1,0]"
train_1396,haze primary,"[3,0]"
train_34774,clear primary,"[1,0]"
train_11982,clear primary,"[3,0]"
train_17560,clear primary,"[1,1]"
train_14445,clear primary,"[3,1]"
train_16883,clear primary,"[2,1]"
train_9337,agriculture clear primary,"[2,0]"
train_25021,agriculture clear primary road,"[1,0]"
train_31369,cloudy,"[1,1]"
train_19818,clear cultivation habitation primary,"[3,0]"
train_2253,agriculture partly_cloudy road,"[3,1]"
train_19803,clear primary,"[3,0]"
train_36694,agriculture haze primary water,"[2,1]"
train_33657,clear primary,"[1,0]"
train_12115,clear primary,"[1,0]"
train_5796,clear primary,"[1,1]"
train_7733,clear primary,"[1,0]"
train_36313,haze primary,"[1,0]"
train_24850,agriculture clear cultivation primary,"[1,1]"
train_33925,agriculture clear primary road,"[3,1]"
train_17119,clear primary water,"[1,0]"
train_737,clear primary,"[1,0]"
train_35555,agriculture clear cultivation primary,"[1,1]"
train_10325,clear primary,"[1,1]"
train_24051,clear primary,"[1,0]"
train_32716,clear cultivation habitation primary road water,"[1,0]"
train_13698,partly_cloudy water,"[2,0]"
train_2748,agriculture cultivation partly_cloudy primary,"[1,0]"
train_27490,clear primary,"[2,1]"
train_39835,partly_cloudy water,"[3,1]"
train_28458,agriculture clear primary,"[1,1]"
train_11196,agriculture clear primary,"[1,1]"
train_17416,agriculture clear primary road,"[2,0]"
train_6366,clear primary,"[3,1]"
train_15622,cloudy,"[3,0]"
train_24264,agriculture clear cultivation primary,"[2,1]"
train_15167,agriculture clear cultivation primary,"[1,1]"
train_36657,agriculture cultivation partly_cloudy primary,"[1,0]"
train_745,partly_cloudy primary,"[1,1]"
train_21285,agriculture clear primary road,"[3,1]"
train_28988,agriculture clear primary road,"[1,0]"
train_11679,clear primary,"[2,0]"
train_2234,cloudy,"[1,1]"
train_32590,agriculture partly_cloudy primary,"[1,1]"
train_11888,haze primary,"[1,0]"
train_23084,cloudy,"[3,0]"
train_39773,clear primary water,"[1,0]"
train_34449,agriculture habitation partly_cloudy primary road water,"[1,1]"
train_17077,clear primary,"[1,1]"
train_6650,clear primary,"[1,0]"
train_39154,partly_cloudy primary,"[1,0]"
train_16250,agriculture clear cultivation cultivation habitation primary road,"[3,1]"
train_32565,agriculture clear cultivation primary,"[1,0]"
train_17280,haze primary road,"[3,1]"
train_32926,partly_cloudy primary,"[1,1]"
train_37520,clear primary,"[1,0]"
train_38403,clear primary,"[1,1]"
train_5395,clear primary,"[2,0]"
train_34151,clear primary,"[3,1]"
train_1492,cloudy,"[3,1]"
train_22006,partly_cloudy primary,"[1,0]"
train_5414,clear primary,"[3,0]"
train_24380,agriculture partly_cloudy primary,"[1,1]"
train_11563,clear primary,"[3,0]"
train_29579,clear primary slash_burn,"[3,1]"
train_40371,agriculture partly_cloudy primary road,"[1,1]"
train_17664,clear primary water,"[1,1]"
train_38398,clear primary water,"[1,0]"
train_37600,clear primary water,"[1,1]"
train_22911,haze primary,"[2,0]"
train_1874,agriculture cultivation haze primary,"[1,1]"
train_17952,partly_cloudy primary,"[1,0]"
train_39568,clear primary water,"[2,1]"
train_6828,partly_cloudy primary,"[2,1]"
train_13693,partly_cloudy primary,"[1,0]"
train_22880,agriculture partly_cloudy primary road,"[2,1]"
train_33819,clear primary,"[1,0]"
train_26860,clear primary,"[2,1]"
train_20333,clear primary,"[2,1]"
train_11714,clear primary,"[2,1]"
train_1721,clear primary selective_logging,"[1,1]"
train_13925,clear primary,"[2,1]"
train_11560,agriculture clear primary,"[3,1]"
train_11243,clear primary water,"[1,1]"
train_39106,clear primary,"[2,0]"
train_15711,clear primary,"[1,0]"
train_14256,agriculture clear primary road,"[1,1]"
train_3227,clear primary,"[2,0]"
train_29130,agriculture clear cultivation primary,"[1,1]"
