image_name,tags,augment
train_39723,partly_cloudy primary,"[1,1]"
train_24444,clear primary,"[2,0]"
train_22010,clear primary,"[1,0]"
train_22536,agriculture cultivation partly_cloudy primary road,"[1,0]"
train_26766,agriculture clear habitation primary road,"[1,1]"
train_20286,haze primary water,"[1,0]"
train_39107,clear primary,"[3,0]"
train_27953,agriculture clear primary,"[2,1]"
train_27372,agriculture clear cultivation primary,"[3,1]"
train_40004,agriculture partly_cloudy primary road,"[2,0]"
train_7053,clear primary,"[2,0]"
train_19912,clear primary,"[2,1]"
train_38764,clear primary,"[3,0]"
train_31121,agriculture clear primary road,"[3,1]"
train_4587,cloudy,"[2,1]"
train_728,agriculture clear cultivation habitation primary road slash_burn,"[1,0]"
train_1210,partly_cloudy primary,"[1,1]"
train_23549,agriculture clear cultivation primary,"[2,1]"
train_20971,agriculture clear primary road water,"[3,0]"
train_35639,clear primary,"[3,1]"
train_31440,agriculture clear habitation primary road,"[3,1]"
train_7278,partly_cloudy primary,"[2,1]"
train_19814,clear primary,"[1,0]"
train_22165,clear primary,"[3,1]"
train_40022,agriculture bare_ground clear water,"[1,1]"
train_7072,agriculture clear primary water,"[3,0]"
train_29879,agriculture clear habitation primary road water,"[3,1]"
train_1847,artisinal_mine clear primary water,"[1,0]"
train_25336,clear primary,"[1,1]"
train_2631,partly_cloudy primary water,"[2,1]"
train_29218,haze primary,"[1,0]"
train_1914,partly_cloudy primary,"[3,0]"
train_11913,clear primary,"[3,0]"
train_12560,agriculture clear cultivation primary,"[2,1]"
train_23678,agriculture clear cultivation primary,"[3,0]"
train_30041,agriculture partly_cloudy primary road,"[3,0]"
train_3461,cultivation haze primary,"[1,0]"
train_9672,agriculture clear habitation primary road,"[3,1]"
train_35616,clear primary,"[2,1]"
train_22561,agriculture clear primary road,"[3,1]"
train_7833,partly_cloudy primary,"[1,1]"
train_27055,agriculture cultivation partly_cloudy primary slash_burn,"[3,0]"
train_20792,clear primary,"[1,0]"
train_17493,partly_cloudy primary,"[3,1]"
train_39189,agriculture clear habitation primary road,"[3,1]"
train_17005,artisinal_mine clear primary road water,"[1,1]"
train_30854,clear habitation primary road water,"[2,0]"
train_876,agriculture clear cultivation primary,"[3,0]"
train_31798,clear primary,"[3,1]"
train_12115,clear primary,"[1,1]"
train_20148,clear primary,"[1,1]"
train_17540,agriculture clear habitation primary,"[3,1]"
train_24131,agriculture blooming clear primary,"[1,0]"
train_36908,partly_cloudy primary,"[2,0]"
train_37334,partly_cloudy primary road,"[2,0]"
train_21988,clear primary,"[1,0]"
train_14519,artisinal_mine clear primary road water,"[3,0]"
train_13664,clear primary,"[1,1]"
train_10928,clear primary,"[3,0]"
train_31979,cloudy,"[2,0]"
train_18056,clear primary,"[1,1]"
train_11937,cloudy,"[3,1]"
train_34886,agriculture habitation haze primary road,"[2,1]"
